,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
10,83216,85668,82991,86352,93897,97741,92280,128816,123024,114893,110315,107271,106161,108815,107747,107961,109088,110247,111854,113070,116158,114621,119355,118805,120505,121659,119458,117442,116798,117175,122684,119235,113327,107685,98091,93081,88731,87311,86207,87280,87242,89895,89195,86032,85725,87876,90210,93348,93653,93922,95500,99250,99726,98292,97631,97641,94708,93753,95270,97743,98392,101263,99379,98304,97995,95085,92279,91563,90935,92558,92934,93527,91218,90109,88154,90857,88502,89302,88160,87914,88873,88912,90273,91997,94103,96080,97715,99382,100749,101807,102509,102936,103168,103198,103081,102820,102495,102143,101637,101049,100425,99827,99257,98741,98299,97944,97660,97447,97331,97315
11,81705,83527,85548,82649,86084,93630,97587,92070,128606,123623,114794,110248,107276,106347,108769,107798,108025,109147,110303,111911,113124,116337,114965,119613,119040,120941,122420,119808,117781,117031,117626,123307,119462,113676,107635,97998,93218,88918,87597,86442,87630,87543,90300,89483,86416,85985,88065,90500,93674,94007,94254,95887,99585,99924,98349,97489,97439,94595,93720,95345,97917,98557,101411,99384,98419,98126,95450,92732,92091,91341,93085,93492,94079,91727,90587,88603,91261,88875,89664,88503,88244,89193,89239,90602,92324,94433,96409,98042,99708,101073,102132,102833,103262,103495,103526,103413,103153,102830,102480,101978,101388,100770,100173,99604,99090,98649,98296,98013,97803,97688
12,78207,82030,83429,85165,82431,85939,93521,97415,91918,128859,123459,114966,110332,107421,106363,108835,107903,108159,109179,110385,112018,113330,116641,115288,119835,119443,121648,122702,120162,118077,117498,118197,123607,119476,113664,107673,98100,93496,89158,87771,86756,87949,87913,90595,89885,86695,86216,88307,90779,94054,94333,94678,96275,99821,99977,98326,97397,97300,94537,93813,95549,98119,98763,101527,99469,98646,98436,95882,93260,92526,91825,93590,93998,94535,92157,90981,88966,91584,89185,89964,88785,88516,89456,89508,90873,92598,94705,96678,98309,99974,101338,102397,103100,103531,103766,103800,103688,103428,103108,102763,102263,101673,101057,100462,99896,99382,98943,98593,98310,98102
13,78503,78465,81963,83152,85000,82310,85909,93383,97324,92009,128680,123627,115048,110468,107384,106407,108876,108003,108185,109204,110491,112201,113575,116887,115566,120199,120097,121859,123040,120409,118513,117988,118394,123596,119439,113606,107766,98205,93778,89359,88108,87060,88336,88240,90998,90147,86852,86424,88625,91143,94410,94716,94996,96491,99933,99889,98211,97251,97282,94637,93992,95672,98225,98825,101659,99696,98990,98839,96335,93660,93027,92353,94110,94478,94983,92569,91354,89307,91903,89489,90253,89058,88780,89712,89770,91140,92863,94971,96941,98571,100235,101598,102659,103363,103795,104035,104067,103957,103700,103386,103041,102543,101956,101341,100747,100180,99669,99232,98882,98602
14,77495,78733,78381,81681,82975,84896,82279,85876,93261,97375,91894,128573,123670,115151,110383,107420,106484,108912,108034,108237,109279,110653,112407,113775,117090,115900,120818,120285,122082,123336,120876,119119,118188,118467,123583,119423,113765,107927,98392,93966,89739,88424,87417,88611,88624,91285,90353,87138,86677,89014,91542,94792,95074,95274,96586,99857,99834,98090,97264,97357,94805,94155,95781,98307,98975,101861,99961,99438,99327,96699,94172,93566,92879,94589,94934,95397,92946,91692,89622,92195,89764,90514,89301,89016,89942,90009,91383,93108,95216,97185,98815,100478,101840,102906,103610,104045,104285,104318,104209,103956,103642,103300,102803,102216,101602,101014,100446,99937,99502,99154
15,78186,77756,78669,78081,81455,82888,84873,82221,85846,93328,97263,92168,128617,123788,115118,110397,107518,106562,108975,108087,108331,109456,110857,112623,113948,117503,116648,121047,120594,122417,123884,121565,119382,118246,118473,123559,119580,114087,108289,98774,94454,90151,88831,87795,89039,88876,91477,90577,87542,87067,89467,92029,95238,95463,95389,96586,99784,99775,98101,97350,97580,94993,94320,95862,98447,99158,102191,100433,99953,99652,97257,94752,94138,93403,95080,95390,95811,93322,92046,89956,92504,90058,90794,89571,89277,90196,90270,91649,93376,95485,97453,99081,100745,102109,103177,103881,104317,104559,104594,104487,104236,103926,103584,103088,102503,101891,101305,100740,100231,99798
16,77582,78359,77720,78371,77872,81375,82899,84889,82204,86010,93245,97895,92193,128635,123760,115182,110495,107590,106630,109096,108216,108516,109731,111130,112890,114370,118105,116759,121232,120923,122846,124577,121819,119448,118285,118513,123791,120185,114588,108739,99464,95048,90705,89353,88314,89401,89166,91782,90954,88107,87603,90157,92664,95822,95600,95346,96582,99766,99928,98224,97587,97778,95224,94499,96056,98647,99569,102711,100903,100355,100294,97931,95416,94759,93991,95626,95901,96282,93774,92473,90361,92889,90427,91152,89917,89618,90534,90614,91998,93725,95835,97800,99429,101093,102457,103527,104231,104671,104915,104951,104846,104597,104289,103946,103452,102871,102260,101676,101113,100606
17,81190,77760,78299,77467,78132,77778,81404,82924,84878,82394,85899,93306,97915,92270,128596,123794,115238,110595,107626,106747,109230,108489,108835,110057,111491,113399,115188,118400,117175,121666,121614,123757,125031,122055,119716,118472,118846,124298,120762,115287,109552,100133,95788,91364,89989,88756,89677,89467,92256,91525,88633,88241,90942,93285,96025,95719,95461,96587,99894,100129,98488,97814,98048,95422,94711,96333,99152,100201,103349,101393,101076,101053,98687,96125,95433,94619,96213,96454,96812,94285,92958,90826,93336,90861,91575,90328,90024,90938,91021,92412,94137,96248,98211,99841,101504,102868,103939,104646,105087,105334,105372,105269,105021,104715,104371,103878,103298,102688,102105,101544
18,80128,81388,77641,78023,77209,78009,77720,81428,82906,84978,82261,85817,93224,97905,92201,128517,123775,115368,110682,107755,106946,109612,109024,109362,110595,112176,114498,115647,118902,117894,122409,122640,124229,125303,122369,119914,118850,119612,125092,121659,116286,110497,101185,96709,92291,90565,89245,90398,90287,93176,92394,89650,89361,91851,94021,96529,95930,95598,96920,100471,100731,99231,98645,98964,96576,95963,97903,101093,102502,106032,103800,103571,103568,101155,98556,97810,96946,98495,98723,99059,96500,95140,92980,95466,92971,93680,92426,92119,93029,93121,94516,96241,98350,100310,101944,103605,104965,106037,106750,107193,107442,107479,107379,107136,106832,106489,105997,105419,104809,104228
19,81906,80314,81263,77296,77748,77053,77966,77671,81352,82961,84812,82194,85750,93212,97769,92131,128415,123799,115361,110782,107938,107335,110283,109566,109953,111353,113078,114967,116278,119593,118911,123447,123192,124770,125680,122714,120496,119565,120566,126018,122532,117372,111817,102357,97763,93025,91218,90447,91565,91571,94457,93852,91162,90727,93100,94923,96913,96329,96397,98101,101715,102098,100774,100345,100707,98609,98187,100679,104473,106283,109560,107514,107313,107232,104775,102090,101274,100364,101889,102109,102400,99815,98417,96232,98691,96185,96890,95626,95327,96231,96338,97740,99469,101574,103533,105167,106825,108183,109261,109978,110422,110676,110714,110619,110381,110083,109741,109252,108676,108071
20,79455,82111,80109,80745,76948,77544,76934,77831,77485,81292,82723,84336,82080,85655,92975,97539,91977,128297,123641,115354,110878,108277,107837,110650,110037,110604,112730,113549,115499,116952,120497,120186,123963,123807,125137,126021,123331,121224,120420,121544,126788,123593,118489,112794,103451,98410,93616,92101,91384,92582,92550,95688,95154,92227,91750,93859,95426,97310,97311,97902,99762,103631,103952,102547,101980,102705,100716,100853,103471,107143,109790,113273,111285,110905,110716,108127,105329,104435,103489,104973,105155,105407,102794,101364,99161,101605,99101,99813,98547,98269,99173,99306,100722,102451,104555,106509,108145,109800,111159,112243,112966,113419,113679,113723,113635,113406,113120,112784,112301,111734
21,79947,79559,81760,79483,80066,76486,77205,76676,77462,77317,80934,82312,84119,81888,85302,92630,97269,91785,127907,123362,115374,111046,108621,108071,110866,110629,111372,113115,113963,115970,117788,121404,120626,124300,124143,125477,126529,123967,122026,121133,122069,127769,124635,119456,113872,103940,99014,94489,93161,92562,93699,93775,97078,96443,93336,92700,94590,95834,98390,98901,99743,101766,105529,105456,103950,103336,104401,102767,102774,105340,110233,113030,116566,114359,113802,113438,110694,107780,106851,105866,107275,107425,107634,105001,103537,101342,103769,101272,102005,100745,100509,101419,101595,103028,104755,106860,108803,110444,112095,113454,114544,115279,115745,116016,116068,115994,115784,115509,115181,114710
22,77885,80051,79179,80997,78768,79517,76124,76819,76233,77173,76875,80489,82087,83916,81559,84917,92329,96968,91451,127489,123225,115466,111274,108873,108238,111177,111183,111779,113455,114586,116793,118630,121664,121006,124605,124396,125847,127138,124643,122663,121515,122923,128645,125588,120353,114256,104369,99926,95477,94259,93690,95104,95171,98444,97588,94338,93398,95224,96791,100052,100464,101576,103279,106717,106538,105105,104871,105896,104180,104417,108040,113199,115956,119145,116739,115943,115402,112535,109582,108633,107589,108945,109072,109244,106603,105130,102948,105362,102881,103638,102385,102200,103124,103351,104805,106535,108635,110572,112216,113863,115223,116321,117069,117548,117832,117896,117837,117644,117388,117071
23,78039,77938,79583,78407,80227,78205,79148,75640,76333,75923,76743,76186,80261,81807,83515,81130,84538,92007,96629,91250,127282,123253,115656,111527,109077,108475,111828,111549,112114,113938,115186,117440,118831,121791,121104,124788,124843,126236,127760,125110,123064,122251,123831,129564,126537,120705,114676,105221,100884,96636,95193,94933,96511,96346,99349,98385,94990,93994,96056,98303,101473,102132,102941,104234,107410,107392,106518,106520,107619,105833,107056,110905,116094,118368,121256,118625,117640,116996,114134,111170,110188,109116,110433,110550,110697,108077,106603,104432,106838,104373,105152,103908,103779,104715,104993,106466,108194,110291,112225,113867,115511,116874,117976,118735,119228,119523,119595,119549,119378,119135
24,78476,78123,77477,78742,77707,79620,77800,78676,75196,76067,75540,76188,76001,80086,81373,83263,80945,84367,91612,96434,91196,127250,123349,115887,111655,109367,109270,112161,111849,112587,114515,115911,117685,119036,121942,121334,125035,125113,126812,128301,125426,123736,123080,124772,130345,126762,121067,115518,105971,101999,97512,96450,96289,97549,97243,100011,98882,95285,94612,97384,99552,102957,103208,103516,104752,108172,108420,107803,107920,108910,108375,109780,113625,118339,120210,122780,119978,118890,118284,115452,112468,111475,110383,111676,111789,111941,109343,107869,105716,108115,105667,106465,105234,105160,106108,106427,107918,109647,111742,113669,115311,116951,118314,119422,120190,120695,121002,121080,121050,120896
25,80213,78541,77677,76695,78052,77224,79288,77356,78274,75041,75738,75016,76010,75842,79802,81155,83084,80770,84088,91483,96382,91409,127181,123537,115975,111886,109900,109583,112417,112055,113205,115129,116069,117806,119202,122114,121565,125421,125618,127226,128590,126187,124365,123895,125534,130653,126975,121725,116239,106909,102866,98641,97709,97372,98269,97776,100366,99005,95979,95874,98516,100747,103792,103575,103725,105343,108847,109416,108942,109076,111163,110844,112215,115557,119855,121333,123654,120774,119738,119181,116359,113382,112383,111288,112567,112698,112855,110277,108807,106672,109064,106635,107456,106235,106211,107169,107525,109035,110765,112856,114776,116422,118056,119417,120531,121309,121823,122138,122224,122205
26,81650,80224,78146,76963,76087,77570,76908,78923,77005,78120,74759,75339,74872,76004,75688,79665,81087,83034,80492,84021,91504,96356,91610,127262,123569,116111,112372,110089,109747,112694,112460,113618,115152,116193,117799,119385,122330,121832,125846,126064,127408,129212,126841,125016,124514,125667,130821,127546,122216,117111,107763,103937,99818,98547,97924,98827,98017,100358,99537,96922,96808,99453,101569,104055,103709,104283,105977,110033,110637,110115,111112,113368,113062,113946,116855,120750,121927,124095,121305,120332,119808,117005,114040,113047,111953,113238,113386,113545,110988,109521,107405,109791,107383,108218,107012,107024,107990,108381,109910,111636,113722,115637,117281,118911,120271,121387,122172,122694,123015,123108
27,79059,81663,79809,77451,76470,75753,77320,76504,78652,76946,77829,74327,75163,74922,75855,75649,79523,81003,82851,80402,84015,91654,96559,91742,127174,123762,116246,112482,110330,109874,113011,112852,113620,115012,116333,117829,119571,122461,122258,126136,126230,128040,129896,127483,125671,124585,125824,131308,128142,122904,117878,108795,104968,100469,98931,98176,99050,98056,100846,100265,97758,97477,99959,101785,104316,104232,104992,106982,111102,111930,111945,113113,115360,114643,115117,117612,121187,122180,124377,121684,120751,120265,117486,114534,113547,112472,113761,113918,114083,111542,110080,107980,110363,107976,108824,107622,107668,108641,109065,110601,112331,114414,116321,117960,119585,120942,122059,122848,123376,123703
28,80162,79129,81248,79168,76968,76098,75576,77027,76208,78643,76656,77359,74208,75137,74745,75744,75564,79482,80826,82852,80410,84132,91798,96755,91871,127295,123993,116272,112624,110483,110128,113392,112879,113667,115029,116354,117978,119704,122821,122650,126184,126737,128526,130582,128129,125753,124790,126143,131792,128895,123553,118787,109718,105640,100858,99135,98137,98973,98289,101690,100968,98357,97917,100224,102082,104815,104853,105930,108149,112261,113567,113726,114903,116761,115670,115731,117874,121228,122218,124459,121844,120961,120511,117754,114819,113849,112788,114079,114248,114416,111893,110433,108351,110730,108359,109222,108023,108099,109077,109527,111070,112801,114880,116778,118416,120033,121385,122501,123295,123824
29,81468,80320,78747,80601,78647,76650,75942,75317,76730,76252,78389,76321,77300,74245,74995,74719,75679,75537,79285,80768,82826,80440,84319,91938,96777,91978,127698,123955,116389,112680,110771,110374,113393,112686,113604,115084,116537,118128,119945,123121,122693,126578,127266,129236,131228,128236,125835,125065,126494,132293,129436,124359,119594,110223,105933,101011,99061,97939,99334,98846,102293,101387,98691,98125,100426,102601,105543,105703,107008,109410,113713,115171,115324,116156,117652,116175,115881,117773,121088,122094,124375,121839,120997,120578,117844,114934,113978,112926,114216,114393,114567,112058,110600,108534,110910,108557,109425,108235,108338,109318,109789,111338,113065,115135,117029,118660,120268,121616,122732,123527
30,68175,81669,79965,78178,80147,78349,76557,75685,75033,76903,76045,78507,76221,77352,74116,74915,74623,75760,75396,79269,80823,82940,80641,84405,91936,96927,92058,127754,124011,116453,112827,110997,110235,113166,112677,113630,115162,116579,118421,120074,123072,123165,127029,127722,129688,131302,128250,126006,125484,127040,132734,130243,125089,119983,110458,105926,100910,98851,98019,99722,99245,102761,101723,98967,98207,100877,103194,106394,106647,108154,110717,115129,116593,116415,116929,118053,116243,115689,117512,120814,121836,124164,121698,120892,120494,117793,114902,113957,112912,114200,114385,114557,112061,110610,108552,110924,108582,109459,108275,108397,109379,109869,111416,113139,115204,117089,118714,120313,121653,122767
